Declaration Number,Declaration Type,Declaration Date,State,County,Disaster Type,Disaster Title,Start Date,End Date,Close Date,Individual Assistance Program,Individuals & Households Program,Public Assistance Program,Hazard Mitigation Program
DR-1078,Disaster,01/05/1996,MN,Swift County,Snow,"High Winds, Freezing Rain, Heavy Snowfall",10/23/1995,10/24/1995,12/06/1999,No,No,Yes,Yes
DR-1078,Disaster,01/05/1996,MN,Traverse County,Snow,"High Winds, Freezing Rain, Heavy Snowfall",10/23/1995,10/24/1995,12/06/1999,No,No,Yes,Yes
DR-1080,Disaster,01/11/1996,DC,,Storm,Blizzard of 96 (Severe Snow Storm),01/06/1996,01/10/1996,11/19/1997,No,No,Yes,Yes
DR-1081,Disaster,01/11/1996,MD,Baltimore,Snow,Blizzard of 96 (Severe Snow Storm),01/06/1996,01/12/1996,07/25/2003,No,No,Yes,Yes
DR-1081,Disaster,01/11/1996,MD,Allegany County,Snow,Blizzard of 96 (Severe Snow Storm),01/06/1996,01/12/1996,07/25/2003,No,No,Yes,Yes
DR-1081,Disaster,01/11/1996,MD,Anne Arundel County,Snow,Blizzard of 96 (Severe Snow Storm),01/06/1996,01/12/1996,07/25/2003,No,No,Yes,Yes
DR-1081,Disaster,01/11/1996,MD,Baltimore County,Snow,Blizzard of 96 (Severe Snow Storm),01/06/1996,01/12/1996,07/25/2003,No,No,Yes,Yes
DR-1081,Disaster,01/11/1996,MD,Calvert County,Snow,Blizzard of 96 (Severe Snow Storm),01/06/1996,01/12/1996,07/25/2003,No,No,Yes,Yes
DR-1081,Disaster,01/11/1996,MD,Caroline County,Snow,Blizzard of 96 (Severe Snow Storm),01/06/1996,01/12/1996,07/25/2003,No,No,Yes,Yes
DR-1081,Disaster,01/11/1996,MD,Carroll County,Snow,Blizzard of 96 (Severe Snow Storm),01/06/1996,01/12/1996,07/25/2003,No,No,Yes,Yes
DR-1081,Disaster,01/11/1996,MD,Cecil County,Snow,Blizzard of 96 (Severe Snow Storm),01/06/1996,01/12/1996,07/25/2003,No,No,Yes,Yes
DR-1081,Disaster,01/11/1996,MD,Charles County,Snow,Blizzard of 96 (Severe Snow Storm),01/06/1996,01/12/1996,07/25/2003,No,No,Yes,Yes
DR-1081,Disaster,01/11/1996,MD,Dorchester County,Snow,Blizzard of 96 (Severe Snow Storm),01/06/1996,01/12/1996,07/25/2003,No,No,Yes,Yes
DR-1081,Disaster,01/11/1996,MD,Frederick County,Snow,Blizzard of 96 (Severe Snow Storm),01/06/1996,01/12/1996,07/25/2003,No,No,Yes,Yes
DR-1081,Disaster,01/11/1996,MD,Garrett County,Snow,Blizzard of 96 (Severe Snow Storm),01/06/1996,01/12/1996,07/25/2003,No,No,Yes,Yes
DR-1081,Disaster,01/11/1996,MD,Harford County,Snow,Blizzard of 96 (Severe Snow Storm),01/06/1996,01/12/1996,07/25/2003,No,No,Yes,Yes
DR-1081,Disaster,01/11/1996,MD,Howard County,Snow,Blizzard of 96 (Severe Snow Storm),01/06/1996,01/12/1996,07/25/2003,No,No,Yes,Yes
DR-1081,Disaster,01/11/1996,MD,Kent County,Snow,Blizzard of 96 (Severe Snow Storm),01/06/1996,01/12/1996,07/25/2003,No,No,Yes,Yes
DR-1081,Disaster,01/11/1996,MD,Montgomery County,Snow,Blizzard of 96 (Severe Snow Storm),01/06/1996,01/12/1996,07/25/2003,No,No,Yes,Yes
DR-1081,Disaster,01/11/1996,MD,Prince George's County,Snow,Blizzard of 96 (Severe Snow Storm),01/06/1996,01/12/1996,07/25/2003,No,No,Yes,Yes
DR-1081,Disaster,01/11/1996,MD,Queen Anne's County,Snow,Blizzard of 96 (Severe Snow Storm),01/06/1996,01/12/1996,07/25/2003,No,No,Yes,Yes
DR-1081,Disaster,01/11/1996,MD,St. Mary's County,Snow,Blizzard of 96 (Severe Snow Storm),01/06/1996,01/12/1996,07/25/2003,No,No,Yes,Yes
DR-1081,Disaster,01/11/1996,MD,Somerset County,Snow,Blizzard of 96 (Severe Snow Storm),01/06/1996,01/12/1996,07/25/2003,No,No,Yes,Yes
DR-1081,Disaster,01/11/1996,MD,Talbot County,Snow,Blizzard of 96 (Severe Snow Storm),01/06/1996,01/12/1996,07/25/2003,No,No,Yes,Yes
DR-1081,Disaster,01/11/1996,MD,Washington County,Snow,Blizzard of 96 (Severe Snow Storm),01/06/1996,01/12/1996,07/25/2003,No,No,Yes,Yes
DR-1081,Disaster,01/11/1996,MD,Wicomico County,Snow,Blizzard of 96 (Severe Snow Storm),01/06/1996,01/12/1996,07/25/2003,No,No,Yes,Yes
DR-1081,Disaster,01/11/1996,MD,Worcester County,Snow,Blizzard of 96 (Severe Snow Storm),01/06/1996,01/12/1996,07/25/2003,No,No,Yes,Yes
DR-1082,Disaster,01/12/1996,DE,Kent County,Snow,Blizzard of 96 (Severe Snow Storm),01/06/1996,01/12/1996,06/25/2001,No,No,Yes,Yes
DR-1082,Disaster,01/12/1996,DE,New Castle County,Snow,Blizzard of 96 (Severe Snow Storm),01/06/1996,01/12/1996,06/25/2001,No,No,Yes,Yes
DR-1082,Disaster,01/12/1996,DE,Sussex County,Snow,Blizzard of 96 (Severe Snow Storm),01/06/1996,01/12/1996,06/25/2001,No,No,Yes,Yes
DR-1083,Disaster,01/12/1996,NY,Albany County,Snow,Blizzard of 96 (Severe Snow Storm),01/06/1996,01/12/1996,08/03/2001,No,No,Yes,Yes
DR-1083,Disaster,01/12/1996,NY,Bronx County,Snow,Blizzard of 96 (Severe Snow Storm),01/06/1996,01/12/1996,08/03/2001,No,No,Yes,Yes
DR-1083,Disaster,01/12/1996,NY,Columbia County,Snow,Blizzard of 96 (Severe Snow Storm),01/06/1996,01/12/1996,08/03/2001,No,No,Yes,Yes
DR-1083,Disaster,01/12/1996,NY,Delaware County,Snow,Blizzard of 96 (Severe Snow Storm),01/06/1996,01/12/1996,08/03/2001,No,No,Yes,Yes
DR-1083,Disaster,01/12/1996,NY,Dutchess County,Snow,Blizzard of 96 (Severe Snow Storm),01/06/1996,01/12/1996,08/03/2001,No,No,Yes,Yes
DR-1083,Disaster,01/12/1996,NY,Greene County,Snow,Blizzard of 96 (Severe Snow Storm),01/06/1996,01/12/1996,08/03/2001,No,No,Yes,Yes
DR-1083,Disaster,01/12/1996,NY,Kings County,Snow,Blizzard of 96 (Severe Snow Storm),01/06/1996,01/12/1996,08/03/2001,No,No,Yes,Yes
DR-1083,Disaster,01/12/1996,NY,Nassau County,Snow,Blizzard of 96 (Severe Snow Storm),01/06/1996,01/12/1996,08/03/2001,No,No,Yes,Yes
DR-1083,Disaster,01/12/1996,NY,New York County,Snow,Blizzard of 96 (Severe Snow Storm),01/06/1996,01/12/1996,08/03/2001,No,No,Yes,Yes
DR-1083,Disaster,01/12/1996,NY,Orange County,Snow,Blizzard of 96 (Severe Snow Storm),01/06/1996,01/12/1996,08/03/2001,No,No,Yes,Yes
DR-1083,Disaster,01/12/1996,NY,Putnam County,Snow,Blizzard of 96 (Severe Snow Storm),01/06/1996,01/12/1996,08/03/2001,No,No,Yes,Yes
DR-1083,Disaster,01/12/1996,NY,Queens County,Snow,Blizzard of 96 (Severe Snow Storm),01/06/1996,01/12/1996,08/03/2001,No,No,Yes,Yes
DR-1083,Disaster,01/12/1996,NY,Rensselaer County,Snow,Blizzard of 96 (Severe Snow Storm),01/06/1996,01/12/1996,08/03/2001,No,No,Yes,Yes
DR-1083,Disaster,01/12/1996,NY,Richmond County,Snow,Blizzard of 96 (Severe Snow Storm),01/06/1996,01/12/1996,08/03/2001,No,No,Yes,Yes
DR-1083,Disaster,01/12/1996,NY,Rockland County,Snow,Blizzard of 96 (Severe Snow Storm),01/06/1996,01/12/1996,08/03/2001,No,No,Yes,Yes
DR-1083,Disaster,01/12/1996,NY,Suffolk County,Snow,Blizzard of 96 (Severe Snow Storm),01/06/1996,01/12/1996,08/03/2001,No,No,Yes,Yes
DR-1083,Disaster,01/12/1996,NY,Sullivan County,Snow,Blizzard of 96 (Severe Snow Storm),01/06/1996,01/12/1996,08/03/2001,No,No,Yes,Yes
DR-1083,Disaster,01/12/1996,NY,Ulster County,Snow,Blizzard of 96 (Severe Snow Storm),01/06/1996,01/12/1996,08/03/2001,No,No,Yes,Yes
DR-1083,Disaster,01/12/1996,NY,Westchester County,Snow,Blizzard of 96 (Severe Snow Storm),01/06/1996,01/12/1996,08/03/2001,No,No,Yes,Yes
DR-1084,Disaster,01/13/1996,WV,Barbour County,Snow,Blizzard of 96 (Severe Snow Storm),01/06/1996,01/12/1996,01/10/1997,No,No,Yes,Yes
DR-1084,Disaster,01/13/1996,WV,Berkeley County,Snow,Blizzard of 96 (Severe Snow Storm),01/06/1996,01/12/1996,01/10/1997,No,No,Yes,Yes
DR-1084,Disaster,01/13/1996,WV,Boone County,Snow,Blizzard of 96 (Severe Snow Storm),01/06/1996,01/12/1996,01/10/1997,No,No,Yes,Yes
DR-1084,Disaster,01/13/1996,WV,Braxton County,Snow,Blizzard of 96 (Severe Snow Storm),01/06/1996,01/12/1996,01/10/1997,No,No,Yes,Yes
DR-1084,Disaster,01/13/1996,WV,Brooke County,Snow,Blizzard of 96 (Severe Snow Storm),01/06/1996,01/12/1996,01/10/1997,No,No,Yes,Yes
DR-1084,Disaster,01/13/1996,WV,Cabell County,Snow,Blizzard of 96 (Severe Snow Storm),01/06/1996,01/12/1996,01/10/1997,No,No,Yes,Yes
DR-1084,Disaster,01/13/1996,WV,Calhoun County,Snow,Blizzard of 96 (Severe Snow Storm),01/06/1996,01/12/1996,01/10/1997,No,No,Yes,Yes
DR-1084,Disaster,01/13/1996,WV,Clay County,Snow,Blizzard of 96 (Severe Snow Storm),01/06/1996,01/12/1996,01/10/1997,No,No,Yes,Yes
DR-1084,Disaster,01/13/1996,WV,Doddridge County,Snow,Blizzard of 96 (Severe Snow Storm),01/06/1996,01/12/1996,01/10/1997,No,No,Yes,Yes
DR-1084,Disaster,01/13/1996,WV,Fayette County,Snow,Blizzard of 96 (Severe Snow Storm),01/06/1996,01/12/1996,01/10/1997,No,No,Yes,Yes
DR-1084,Disaster,01/13/1996,WV,Gilmer County,Snow,Blizzard of 96 (Severe Snow Storm),01/06/1996,01/12/1996,01/10/1997,No,No,Yes,Yes
DR-1084,Disaster,01/13/1996,WV,Grant County,Snow,Blizzard of 96 (Severe Snow Storm),01/06/1996,01/12/1996,01/10/1997,No,No,Yes,Yes
DR-1084,Disaster,01/13/1996,WV,Greenbrier County,Snow,Blizzard of 96 (Severe Snow Storm),01/06/1996,01/12/1996,01/10/1997,No,No,Yes,Yes
DR-1084,Disaster,01/13/1996,WV,Hampshire County,Snow,Blizzard of 96 (Severe Snow Storm),01/06/1996,01/12/1996,01/10/1997,No,No,Yes,Yes
DR-1084,Disaster,01/13/1996,WV,Hancock County,Snow,Blizzard of 96 (Severe Snow Storm),01/06/1996,01/12/1996,01/10/1997,No,No,Yes,Yes
DR-1084,Disaster,01/13/1996,WV,Hardy County,Snow,Blizzard of 96 (Severe Snow Storm),01/06/1996,01/12/1996,01/10/1997,No,No,Yes,Yes
DR-1084,Disaster,01/13/1996,WV,Harrison County,Snow,Blizzard of 96 (Severe Snow Storm),01/06/1996,01/12/1996,01/10/1997,No,No,Yes,Yes
DR-1084,Disaster,01/13/1996,WV,Jackson County,Snow,Blizzard of 96 (Severe Snow Storm),01/06/1996,01/12/1996,01/10/1997,No,No,Yes,Yes
DR-1084,Disaster,01/13/1996,WV,Jefferson County,Snow,Blizzard of 96 (Severe Snow Storm),01/06/1996,01/12/1996,01/10/1997,No,No,Yes,Yes
DR-1084,Disaster,01/13/1996,WV,Kanawha County,Snow,Blizzard of 96 (Severe Snow Storm),01/06/1996,01/12/1996,01/10/1997,No,No,Yes,Yes
DR-1084,Disaster,01/13/1996,WV,Lewis County,Snow,Blizzard of 96 (Severe Snow Storm),01/06/1996,01/12/1996,01/10/1997,No,No,Yes,Yes
DR-1084,Disaster,01/13/1996,WV,Lincoln County,Snow,Blizzard of 96 (Severe Snow Storm),01/06/1996,01/12/1996,01/10/1997,No,No,Yes,Yes
DR-1084,Disaster,01/13/1996,WV,Logan County,Snow,Blizzard of 96 (Severe Snow Storm),01/06/1996,01/12/1996,01/10/1997,No,No,Yes,Yes
DR-1084,Disaster,01/13/1996,WV,McDowell County,Snow,Blizzard of 96 (Severe Snow Storm),01/06/1996,01/12/1996,01/10/1997,No,No,Yes,Yes
DR-1084,Disaster,01/13/1996,WV,Marion County,Snow,Blizzard of 96 (Severe Snow Storm),01/06/1996,01/12/1996,01/10/1997,No,No,Yes,Yes
DR-1084,Disaster,01/13/1996,WV,Marshall County,Snow,Blizzard of 96 (Severe Snow Storm),01/06/1996,01/12/1996,01/10/1997,No,No,Yes,Yes
DR-1084,Disaster,01/13/1996,WV,Mason County,Snow,Blizzard of 96 (Severe Snow Storm),01/06/1996,01/12/1996,01/10/1997,No,No,Yes,Yes
DR-1084,Disaster,01/13/1996,WV,Mercer County,Snow,Blizzard of 96 (Severe Snow Storm),01/06/1996,01/12/1996,01/10/1997,No,No,Yes,Yes
DR-1084,Disaster,01/13/1996,WV,Mineral County,Snow,Blizzard of 96 (Severe Snow Storm),01/06/1996,01/12/1996,01/10/1997,No,No,Yes,Yes
DR-1084,Disaster,01/13/1996,WV,Mingo County,Snow,Blizzard of 96 (Severe Snow Storm),01/06/1996,01/12/1996,01/10/1997,No,No,Yes,Yes
DR-1084,Disaster,01/13/1996,WV,Monongalia County,Snow,Blizzard of 96 (Severe Snow Storm),01/06/1996,01/12/1996,01/10/1997,No,No,Yes,Yes
DR-1084,Disaster,01/13/1996,WV,Monroe County,Snow,Blizzard of 96 (Severe Snow Storm),01/06/1996,01/12/1996,01/10/1997,No,No,Yes,Yes
DR-1084,Disaster,01/13/1996,WV,Morgan County,Snow,Blizzard of 96 (Severe Snow Storm),01/06/1996,01/12/1996,01/10/1997,No,No,Yes,Yes
DR-1084,Disaster,01/13/1996,WV,Nicholas County,Snow,Blizzard of 96 (Severe Snow Storm),01/06/1996,01/12/1996,01/10/1997,No,No,Yes,Yes
DR-1084,Disaster,01/13/1996,WV,Ohio County,Snow,Blizzard of 96 (Severe Snow Storm),01/06/1996,01/12/1996,01/10/1997,No,No,Yes,Yes
DR-1084,Disaster,01/13/1996,WV,Pendleton County,Snow,Blizzard of 96 (Severe Snow Storm),01/06/1996,01/12/1996,01/10/1997,No,No,Yes,Yes
DR-1084,Disaster,01/13/1996,WV,Pleasants County,Snow,Blizzard of 96 (Severe Snow Storm),01/06/1996,01/12/1996,01/10/1997,No,No,Yes,Yes
DR-1084,Disaster,01/13/1996,WV,Pocahontas County,Snow,Blizzard of 96 (Severe Snow Storm),01/06/1996,01/12/1996,01/10/1997,No,No,Yes,Yes
DR-1084,Disaster,01/13/1996,WV,Preston County,Snow,Blizzard of 96 (Severe Snow Storm),01/06/1996,01/12/1996,01/10/1997,No,No,Yes,Yes
DR-1084,Disaster,01/13/1996,WV,Putnam County,Snow,Blizzard of 96 (Severe Snow Storm),01/06/1996,01/12/1996,01/10/1997,No,No,Yes,Yes
DR-1084,Disaster,01/13/1996,WV,Raleigh County,Snow,Blizzard of 96 (Severe Snow Storm),01/06/1996,01/12/1996,01/10/1997,No,No,Yes,Yes
DR-1084,Disaster,01/13/1996,WV,Randolph County,Snow,Blizzard of 96 (Severe Snow Storm),01/06/1996,01/12/1996,01/10/1997,No,No,Yes,Yes
DR-1084,Disaster,01/13/1996,WV,Ritchie County,Snow,Blizzard of 96 (Severe Snow Storm),01/06/1996,01/12/1996,01/10/1997,No,No,Yes,Yes
DR-1084,Disaster,01/13/1996,WV,Roane County,Snow,Blizzard of 96 (Severe Snow Storm),01/06/1996,01/12/1996,01/10/1997,No,No,Yes,Yes
DR-1084,Disaster,01/13/1996,WV,Summers County,Snow,Blizzard of 96 (Severe Snow Storm),01/06/1996,01/12/1996,01/10/1997,No,No,Yes,Yes
DR-1084,Disaster,01/13/1996,WV,Taylor County,Snow,Blizzard of 96 (Severe Snow Storm),01/06/1996,01/12/1996,01/10/1997,No,No,Yes,Yes
DR-1084,Disaster,01/13/1996,WV,Tucker County,Snow,Blizzard of 96 (Severe Snow Storm),01/06/1996,01/12/1996,01/10/1997,No,No,Yes,Yes
DR-1084,Disaster,01/13/1996,WV,Tyler County,Snow,Blizzard of 96 (Severe Snow Storm),01/06/1996,01/12/1996,01/10/1997,No,No,Yes,Yes
DR-1084,Disaster,01/13/1996,WV,Upshur County,Snow,Blizzard of 96 (Severe Snow Storm),01/06/1996,01/12/1996,01/10/1997,No,No,Yes,Yes
DR-1084,Disaster,01/13/1996,WV,Wayne County,Snow,Blizzard of 96 (Severe Snow Storm),01/06/1996,01/12/1996,01/10/1997,No,No,Yes,Yes
DR-1084,Disaster,01/13/1996,WV,Webster County,Snow,Blizzard of 96 (Severe Snow Storm),01/06/1996,01/12/1996,01/10/1997,No,No,Yes,Yes
DR-1084,Disaster,01/13/1996,WV,Wetzel County,Snow,Blizzard of 96 (Severe Snow Storm),01/06/1996,01/12/1996,01/10/1997,No,No,Yes,Yes
DR-1084,Disaster,01/13/1996,WV,Wirt County,Snow,Blizzard of 96 (Severe Snow Storm),01/06/1996,01/12/1996,01/10/1997,No,No,Yes,Yes
DR-1084,Disaster,01/13/1996,WV,Wood County,Snow,Blizzard of 96 (Severe Snow Storm),01/06/1996,01/12/1996,01/10/1997,No,No,Yes,Yes
DR-1084,Disaster,01/13/1996,WV,Wyoming County,Snow,Blizzard of 96 (Severe Snow Storm),01/06/1996,01/12/1996,01/10/1997,No,No,Yes,Yes
DR-1085,Disaster,01/13/1996,PA,Adams County,Snow,Blizzard of 96 ,01/06/1996,01/12/1996,02/19/2002,No,No,Yes,Yes
DR-1085,Disaster,01/13/1996,PA,Allegheny County,Snow,Blizzard of 96 ,01/06/1996,01/12/1996,02/19/2002,No,No,Yes,Yes
DR-1085,Disaster,01/13/1996,PA,Armstrong County,Snow,Blizzard of 96 ,01/06/1996,01/12/1996,02/19/2002,No,No,Yes,Yes
DR-1085,Disaster,01/13/1996,PA,Bedford County,Snow,Blizzard of 96 ,01/06/1996,01/12/1996,02/19/2002,No,No,Yes,Yes
DR-1085,Disaster,01/13/1996,PA,Berks County,Snow,Blizzard of 96 ,01/06/1996,01/12/1996,02/19/2002,No,No,Yes,Yes
DR-1085,Disaster,01/13/1996,PA,Blair County,Snow,Blizzard of 96 ,01/06/1996,01/12/1996,02/19/2002,No,No,Yes,Yes
DR-1085,Disaster,01/13/1996,PA,Bradford County,Snow,Blizzard of 96 ,01/06/1996,01/12/1996,02/19/2002,No,No,Yes,Yes
DR-1085,Disaster,01/13/1996,PA,Bucks County,Snow,Blizzard of 96 ,01/06/1996,01/12/1996,02/19/2002,No,No,Yes,Yes
DR-1085,Disaster,01/13/1996,PA,Cambria County,Snow,Blizzard of 96 ,01/06/1996,01/12/1996,02/19/2002,No,No,Yes,Yes
DR-1085,Disaster,01/13/1996,PA,Carbon County,Snow,Blizzard of 96 ,01/06/1996,01/12/1996,02/19/2002,No,No,Yes,Yes
DR-1085,Disaster,01/13/1996,PA,Centre County,Snow,Blizzard of 96 ,01/06/1996,01/12/1996,02/19/2002,No,No,Yes,Yes
DR-1085,Disaster,01/13/1996,PA,Chester County,Snow,Blizzard of 96 ,01/06/1996,01/12/1996,02/19/2002,No,No,Yes,Yes
DR-1085,Disaster,01/13/1996,PA,Clearfield County,Snow,Blizzard of 96 ,01/06/1996,01/12/1996,02/19/2002,No,No,Yes,Yes
DR-1085,Disaster,01/13/1996,PA,Clinton County,Snow,Blizzard of 96 ,01/06/1996,01/12/1996,02/19/2002,No,No,Yes,Yes
DR-1085,Disaster,01/13/1996,PA,Columbia County,Snow,Blizzard of 96 ,01/06/1996,01/12/1996,02/19/2002,No,No,Yes,Yes
DR-1085,Disaster,01/13/1996,PA,Cumberland County,Snow,Blizzard of 96 ,01/06/1996,01/12/1996,02/19/2002,No,No,Yes,Yes
DR-1085,Disaster,01/13/1996,PA,Dauphin County,Snow,Blizzard of 96 ,01/06/1996,01/12/1996,02/19/2002,No,No,Yes,Yes
DR-1085,Disaster,01/13/1996,PA,Delaware County,Snow,Blizzard of 96 ,01/06/1996,01/12/1996,02/19/2002,No,No,Yes,Yes
DR-1085,Disaster,01/13/1996,PA,Fayette County,Snow,Blizzard of 96 ,01/06/1996,01/12/1996,02/19/2002,No,No,Yes,Yes
DR-1085,Disaster,01/13/1996,PA,Franklin County,Snow,Blizzard of 96 ,01/06/1996,01/12/1996,02/19/2002,No,No,Yes,Yes
DR-1085,Disaster,01/13/1996,PA,Fulton County,Snow,Blizzard of 96 ,01/06/1996,01/12/1996,02/19/2002,No,No,Yes,Yes
DR-1085,Disaster,01/13/1996,PA,Greene County,Snow,Blizzard of 96 ,01/06/1996,01/12/1996,02/19/2002,No,No,Yes,Yes
DR-1085,Disaster,01/13/1996,PA,Huntingdon County,Snow,Blizzard of 96 ,01/06/1996,01/12/1996,02/19/2002,No,No,Yes,Yes
DR-1085,Disaster,01/13/1996,PA,Indiana County,Snow,Blizzard of 96 ,01/06/1996,01/12/1996,02/19/2002,No,No,Yes,Yes
DR-1085,Disaster,01/13/1996,PA,Juniata County,Snow,Blizzard of 96 ,01/06/1996,01/12/1996,02/19/2002,No,No,Yes,Yes
DR-1085,Disaster,01/13/1996,PA,Lackawanna County,Snow,Blizzard of 96 ,01/06/1996,01/12/1996,02/19/2002,No,No,Yes,Yes
DR-1085,Disaster,01/13/1996,PA,Lancaster County,Snow,Blizzard of 96 ,01/06/1996,01/12/1996,02/19/2002,No,No,Yes,Yes
DR-1085,Disaster,01/13/1996,PA,Lebanon County,Snow,Blizzard of 96 ,01/06/1996,01/12/1996,02/19/2002,No,No,Yes,Yes
DR-1085,Disaster,01/13/1996,PA,Lehigh County,Snow,Blizzard of 96 ,01/06/1996,01/12/1996,02/19/2002,No,No,Yes,Yes
DR-1085,Disaster,01/13/1996,PA,Luzerne County,Snow,Blizzard of 96 ,01/06/1996,01/12/1996,02/19/2002,No,No,Yes,Yes
DR-1085,Disaster,01/13/1996,PA,Lycoming County,Snow,Blizzard of 96 ,01/06/1996,01/12/1996,02/19/2002,No,No,Yes,Yes
DR-1085,Disaster,01/13/1996,PA,Mifflin County,Snow,Blizzard of 96 ,01/06/1996,01/12/1996,02/19/2002,No,No,Yes,Yes
DR-1085,Disaster,01/13/1996,PA,Monroe County,Snow,Blizzard of 96 ,01/06/1996,01/12/1996,02/19/2002,No,No,Yes,Yes
DR-1085,Disaster,01/13/1996,PA,Montgomery County,Snow,Blizzard of 96 ,01/06/1996,01/12/1996,02/19/2002,No,No,Yes,Yes
DR-1085,Disaster,01/13/1996,PA,Montour County,Snow,Blizzard of 96 ,01/06/1996,01/12/1996,02/19/2002,No,No,Yes,Yes
DR-1085,Disaster,01/13/1996,PA,Northampton County,Snow,Blizzard of 96 ,01/06/1996,01/12/1996,02/19/2002,No,No,Yes,Yes
DR-1085,Disaster,01/13/1996,PA,Northumberland County,Snow,Blizzard of 96 ,01/06/1996,01/12/1996,02/19/2002,No,No,Yes,Yes
DR-1085,Disaster,01/13/1996,PA,Perry County,Snow,Blizzard of 96 ,01/06/1996,01/12/1996,02/19/2002,No,No,Yes,Yes
DR-1085,Disaster,01/13/1996,PA,Philadelphia County,Snow,Blizzard of 96 ,01/06/1996,01/12/1996,02/19/2002,No,No,Yes,Yes
DR-1085,Disaster,01/13/1996,PA,Pike County,Snow,Blizzard of 96 ,01/06/1996,01/12/1996,02/19/2002,No,No,Yes,Yes
DR-1085,Disaster,01/13/1996,PA,Schuylkill County,Snow,Blizzard of 96 ,01/06/1996,01/12/1996,02/19/2002,No,No,Yes,Yes
DR-1085,Disaster,01/13/1996,PA,Snyder County,Snow,Blizzard of 96 ,01/06/1996,01/12/1996,02/19/2002,No,No,Yes,Yes
DR-1085,Disaster,01/13/1996,PA,Somerset County,Snow,Blizzard of 96 ,01/06/1996,01/12/1996,02/19/2002,No,No,Yes,Yes
DR-1085,Disaster,01/13/1996,PA,Sullivan County,Snow,Blizzard of 96 ,01/06/1996,01/12/1996,02/19/2002,No,No,Yes,Yes
DR-1085,Disaster,01/13/1996,PA,Susquehanna County,Snow,Blizzard of 96 ,01/06/1996,01/12/1996,02/19/2002,No,No,Yes,Yes
DR-1085,Disaster,01/13/1996,PA,Union County,Snow,Blizzard of 96 ,01/06/1996,01/12/1996,02/19/2002,No,No,Yes,Yes
DR-1085,Disaster,01/13/1996,PA,Washington County,Snow,Blizzard of 96 ,01/06/1996,01/12/1996,02/19/2002,No,No,Yes,Yes
DR-1085,Disaster,01/13/1996,PA,Wayne County,Snow,Blizzard of 96 ,01/06/1996,01/12/1996,02/19/2002,No,No,Yes,Yes
DR-1085,Disaster,01/13/1996,PA,Westmoreland County,Snow,Blizzard of 96 ,01/06/1996,01/12/1996,02/19/2002,No,No,Yes,Yes
DR-1085,Disaster,01/13/1996,PA,Wyoming County,Snow,Blizzard of 96 ,01/06/1996,01/12/1996,02/19/2002,No,No,Yes,Yes
DR-1085,Disaster,01/13/1996,PA,York County,Snow,Blizzard of 96 ,01/06/1996,01/12/1996,02/19/2002,No,No,Yes,Yes
DR-1086,Disaster,01/13/1996,VA,Alexandria,Snow,Blizzard of 96 (Severe Snow Storm),01/06/1996,01/12/1996,11/19/1997,No,No,Yes,Yes
DR-1086,Disaster,01/13/1996,VA,Bedford,Snow,Blizzard of 96 (Severe Snow Storm),01/06/1996,01/12/1996,11/19/1997,No,No,Yes,Yes
DR-1086,Disaster,01/13/1996,VA,Bristol,Snow,Blizzard of 96 (Severe Snow Storm),01/06/1996,01/12/1996,11/19/1997,No,No,Yes,Yes
DR-1086,Disaster,01/13/1996,VA,Buena Vista,Snow,Blizzard of 96 (Severe Snow Storm),01/06/1996,01/12/1996,11/19/1997,No,No,Yes,Yes
DR-1086,Disaster,01/13/1996,VA,Charlottesville,Snow,Blizzard of 96 (Severe Snow Storm),01/06/1996,01/12/1996,11/19/1997,No,No,Yes,Yes
DR-1086,Disaster,01/13/1996,VA,Chesapeake,Snow,Blizzard of 96 (Severe Snow Storm),01/06/1996,01/12/1996,11/19/1997,No,No,Yes,Yes
DR-1086,Disaster,01/13/1996,VA,Clifton Forge,Snow,Blizzard of 96 (Severe Snow Storm),01/06/1996,01/12/1996,11/19/1997,No,No,Yes,Yes
DR-1086,Disaster,01/13/1996,VA,Colonial Heights,Snow,Blizzard of 96 (Severe Snow Storm),01/06/1996,01/12/1996,11/19/1997,No,No,Yes,Yes
DR-1086,Disaster,01/13/1996,VA,Covington,Snow,Blizzard of 96 (Severe Snow Storm),01/06/1996,01/12/1996,11/19/1997,No,No,Yes,Yes
DR-1086,Disaster,01/13/1996,VA,Danville,Snow,Blizzard of 96 (Severe Snow Storm),01/06/1996,01/12/1996,11/19/1997,No,No,Yes,Yes
DR-1086,Disaster,01/13/1996,VA,Emporia,Snow,Blizzard of 96 (Severe Snow Storm),01/06/1996,01/12/1996,11/19/1997,No,No,Yes,Yes
DR-1086,Disaster,01/13/1996,VA,Fairfax,Snow,Blizzard of 96 (Severe Snow Storm),01/06/1996,01/12/1996,11/19/1997,No,No,Yes,Yes
DR-1086,Disaster,01/13/1996,VA,Falls Church,Snow,Blizzard of 96 (Severe Snow Storm),01/06/1996,01/12/1996,11/19/1997,No,No,Yes,Yes
DR-1086,Disaster,01/13/1996,VA,Franklin,Snow,Blizzard of 96 (Severe Snow Storm),01/06/1996,01/12/1996,11/19/1997,No,No,Yes,Yes
DR-1086,Disaster,01/13/1996,VA,Fredericksburg,Snow,Blizzard of 96 (Severe Snow Storm),01/06/1996,01/12/1996,11/19/1997,No,No,Yes,Yes
